Namespace(batch_size=4, bits=8, checkpoint_iters=1000, clip=0.5, decoder_fuse_level=1, distance1=1, distance2=2, encoder_fuse_level=1, eval='../../data/eval', eval_batch_size=1, eval_iters=4500, eval_mv='../../data/eval_mv', fuse_encoder=True, gamma=0.5, gpus='0', iterations=10, load_iter=None, load_model_name=None, lr=0.00025, max_train_iters=10000, model_dir='model', num_crops=2, out_dir='output', patch=64, save_codes=True, save_model_name='gaze_model', save_out_img=True, schedule='50000,60000,70000,80000,90000', shrink=2, stack=True, train='../../data/new-data/train', train_mv='../../data/new-data/train_mv', v_compress=True, warp=True)

Creating loader for ../../data/new-data/train...
26594 images loaded.
	distance=1/2
Loader for 26594 images (6649 batches) created.
	Encoder fuse level: 1
	Decoder fuse level: 1
[TRAIN] Iter[127]; LR: 0.00025; Loss: 0.097667; Backprop: 0.0952 sec; Batch: 0.4999 sec
[TRAIN] Iter[128]; LR: 0.00025; Loss: 0.117013; Backprop: 0.0946 sec; Batch: 0.4993 sec
[TRAIN] Iter[129]; LR: 0.00025; Loss: 0.117807; Backprop: 0.0944 sec; Batch: 0.4996 sec
[TRAIN] Iter[130]; LR: 0.00025; Loss: 0.079424; Backprop: 0.0946 sec; Batch: 0.4995 sec
[TRAIN] Iter[131]; LR: 0.00025; Loss: 0.081465; Backprop: 0.0942 sec; Batch: 0.4993 sec
[TRAIN] Iter[132]; LR: 0.00025; Loss: 0.102855; Backprop: 0.0945 sec; Batch: 0.4996 sec
[TRAIN] Iter[133]; LR: 0.00025; Loss: 0.107349; Backprop: 0.0944 sec; Batch: 0.4999 sec
[TRAIN] Iter[134]; LR: 0.00025; Loss: 0.094701; Backprop: 0.0945 sec; Batch: 0.4996 sec
[TRAIN] Iter[135]; LR: 0.00025; Loss: 0.131052; Backprop: 0.0945 sec; Batch: 0.5000 sec
[TRAIN] Iter[136]; LR: 0.00025; Loss: 0.117487; Backprop: 0.0948 sec; Batch: 0.4996 sec
